Time,Height,Type,Valid
0.001659751091023523,0.34902144451530615,NONE,1.0
0.015079751091027632,0.2606823979591837,NONE,1.0
0.09333975109105158,0.22510762117346939,Type III,1.0
0.09755975109105289,0.1974051339285714,Type III,1.0
0.10037975109105374,0.2993961256377551,Type III,1.0
0.10287975109105452,0.3761260363520408,Type III,1.0
0.10559975109105535,0.43277662627551017,Type III,1.0
0.11045975109105682,0.22470902423469385,Type III,1.0
0.11669975109105873,0.16033561862244894,NONE,0.0
0.12353975109106086,0.19257214604591832,NONE,0.0
0.13627975109106474,0.17488440688775508,NONE,0.0
0.15419975109107023,0.16307597257653061,NONE,0.0
0.16249975109107279,0.21290058992346939,NONE,0.0
0.16639975109107397,0.24005500637755106,Type III,1.0
0.17025975109107516,0.20866549744897955,Type III,1.0
0.17063975109107526,0.30801578443877553,Type III,0.0
0.17675975109107714,0.2540557238520408,Type III,1.0
0.18137975109107857,0.23562061543367352,Type III,1.0
0.18653975109108012,0.39680325255102045,Type III,1.0
0.19387975109108235,0.36212531887755106,Type III,1.0
0.20109975109108458,0.21195392219387754,Type III,1.0
0.21597975109108913,0.19132653061224492,NONE,0.0
0.2680197510911051,0.8981883769132653,Type I,1.0
0.30351975109111595,0.7662527901785714,Type I,1.0
0.31917975109112073,1.524932238520408,Type I,1.0
0.3431197510911281,0.8290816326530612,Type I,1.0
0.35517975109113176,0.8249960140306123,Type I,1.0
0.3599597510911332,0.9164241868622449,Type I,1.0
0.3606197510911334,0.283203125,Type I,0.0
0.36259975109113407,0.17657844387755106,Type I,1.0
0.3628197510911341,0.1682577327806123,Type I,0.0
0.3631197510911342,0.20791812818877542,Type I,0.0
0.3641597510911345,0.19132653061224492,Type I,1.0
0.3643797510911346,0.18081353635204067,Type I,0.0
0.3645397510911346,0.15251315369897966,Type I,0.0
0.36483975109113476,2.6265545280612246,Type I,0.0
0.3663197510911352,0.5621711575255102,Type I,1.0
0.3676797510911356,0.17906967474489788,Type I,0.0
0.3718597510911369,0.24438974808673475,NONE,1.0

Start,End,Type
0.165,0.203,Type III
0.091,0.11199999999999999,Type III
0.265,0.368,Type I
