Time,Height,Type,Valid
-0.0030402868652366632,0.445068359375,NONE,1.0
0.0017597131347631412,0.359423828125,NONE,1.0
0.0030797131347630874,0.19160156250000004,NONE,0.0
0.004439713134763032,0.1807617187499999,NONE,0.0
0.009099713134762849,0.19780273437499996,NONE,1.0
0.012519713134762703,0.31987304687499996,NONE,1.0
0.055219713134760956,0.1898437500000001,NONE,1.0
0.05731971313476088,0.2032714843750001,NONE,1.0
0.05981971313476078,0.2364257812499999,NONE,1.0
0.12491971313475814,0.15615234374999998,NONE,0.0
0.128119713134758,0.284326171875,NONE,1.0
0.1374597131347576,0.3037109375,Type III,1.0
0.13903971313475755,0.28818359375,Type III,1.0
0.1402397131347575,0.259423828125,Type III,0.0
0.1423997131347574,0.20668945312499998,Type III,1.0
0.14389971313475736,0.26215820312500004,Type III,0.0
0.14663971313475724,0.320703125,Type III,1.0
0.14831971313475717,0.35102539062500004,Type III,1.0
0.15043971313475707,0.31059570312499996,Type III,1.0
0.152459713134757,0.357421875,Type III,1.0
0.15455971313475692,0.285888671875,Type III,1.0
0.15681971313475682,0.37260742187499996,Type III,1.0
0.15887971313475674,0.356689453125,Type III,1.0
0.16077971313475667,0.288232421875,Type III,1.0
0.16097971313475665,0.24311523437500004,Type III,0.0
0.16589971313475646,0.768359375,Type II,1.0
0.16913971313475631,0.782177734375,Type II,1.0
0.1719997131347562,0.48969726562500004,Type II,1.0
0.1744597131347561,0.4033203125,Type II,1.0
0.1789197131347559,0.27436523437500004,Type II,1.0
0.17915971313475593,0.19467773437500002,Type II,0.0
0.17977971313475588,0.38095703125,Type II,0.0
0.1849197131347557,0.73701171875,Type II,1.0
0.18753971313475556,0.455419921875,Type II,1.0
0.1895597131347555,0.4814453125,Type II,1.0
0.1933597131347553,0.5470703125,Type II,1.0
0.19557971313475525,0.55732421875,Type II,1.0
0.19639971313475524,0.23583984375,NONE,0.0
0.1964797131347552,0.22211914062500004,NONE,0.0
0.19709971313475516,0.15776367187499996,NONE,0.0
0.20997971313475466,1.415869140625,NONE,1.0

Start,End,Type
0.164,0.196,Type II
0.136,0.163,Type III
