Time,Height,Type,Valid
0.0016597388839696137,0.278369140625,NONE,1.0
0.009699738883969272,0.15546875000000004,NONE,0.0
0.01157973888396921,0.18491210937500002,NONE,1.0
0.12619973888396452,0.30839843749999996,NONE,1.0
0.14349973888396383,0.18339843749999996,NONE,0.0
0.14725973888396368,0.17055664062499998,NONE,0.0
0.18051973888396233,0.32231445312499996,NONE,1.0
0.187799738883962,0.1865234375,NONE,1.0
0.2105997388839611,0.256298828125,NONE,1.0
0.23905973888395993,0.178662109375,NONE,0.0
0.2522797388839594,0.16835937499999998,NONE,0.0
0.33173973888395614,2.473681640625,Type I,1.0
0.3501197388839554,1.769970703125,Type I,1.0
0.36435973888395484,2.36396484375,Type I,1.0
0.37627973888395433,1.3240234375,NONE,1.0
0.3822597388839541,1.118408203125,NONE,1.0
0.38267973888395407,0.162109375,NONE,0.0
0.3907197388839537,0.693603515625,Type II,1.0
0.39863973888395343,0.669921875,Type II,1.0
0.40545973888395315,0.51533203125,Type II,1.0
0.4114797388839529,0.999462890625,Type II,1.0
0.41569973888395273,0.6603515625,Type II,1.0
0.4214197388839525,1.58916015625,Type II,1.0
0.4265197388839523,1.281494140625,Type II,1.0
0.4308597388839521,0.58984375,Type II,1.0
0.434539738883952,0.550048828125,Type II,1.0
0.4417797388839517,0.958154296875,Type II,1.0
0.44749973888395145,0.98408203125,Type II,1.0
0.45251973888395125,0.657177734375,Type II,1.0
0.45775973888395105,1.2548828125,Type II,1.0
0.4629397388839508,0.68583984375,Type II,1.0
0.47011973888395053,0.790625,Type II,1.0
0.4739997388839503,1.129638671875,Type II,1.0
0.4806997388839501,0.58896484375,Type II,1.0
0.49175973888394964,0.71826171875,Type II,1.0
0.49613973888394947,0.873193359375,Type II,1.0
0.5055597388839491,1.301123046875,Type II,1.0
0.5146797388839487,0.8208984375,Type II,1.0
0.5150597388839487,0.16337890624999996,Type II,0.0
0.5150997388839487,0.15180664062500004,Type II,0.0
0.5163397388839487,0.18442382812500002,Type II,0.0
0.5256397388839482,0.887158203125,Type II,1.0
0.532939738883948,0.619482421875,Type II,1.0
0.5411797388839477,0.65302734375,Type II,1.0
0.5580597388839469,2.731005859375,NONE,1.0
0.5690997388839465,0.85380859375,NONE,1.0
0.5709597388839465,0.187451171875,NONE,0.0
0.5710397388839464,0.191650390625,NONE,1.0
0.5712597388839464,0.15107421875000004,NONE,0.0
0.5814197388839459,0.430322265625,Type II,1.0
0.5900597388839456,0.263427734375,Type II,1.0
0.5984997388839453,0.21811523437500002,Type II,1.0
0.6026997388839451,0.45317382812499996,NONE,1.0
0.6031397388839451,3.8515625,NONE,0.0
0.605239738883945,0.699267578125,NONE,1.0

Start,End,Type
0.33,0.367,Type I
0.388,0.548,Type II
0.58,0.6,Type II
