Time,Height,Type,Valid
-0.0030202733230613385,0.434814453125,NONE,1.0
0.0017597266769384667,0.368896484375,NONE,1.0
0.0023797266769384415,0.15087890625,NONE,0.0
0.0030597266769384138,0.19804687499999996,NONE,0.0
0.0044397266769383575,0.22407226562500004,NONE,0.0
0.00821972667693821,0.18398437499999998,NONE,1.0
0.00903972667693817,0.22456054687500004,NONE,0.0
0.010239726676938121,0.35166015625,NONE,1.0
0.12311972667693352,0.17319335937500002,NONE,0.0
0.12827972667693333,0.17558593749999996,NONE,1.0
0.14909972667693247,0.362060546875,Type I,1.0
0.1506797266769324,0.565087890625,Type I,1.0
0.15199972667693235,0.162841796875,Type I,0.0
0.15249972667693232,0.19101562500000002,Type I,1.0
0.1580797266769321,0.4619140625,Type I,1.0
0.16415972667693185,0.346142578125,Type I,1.0
0.16959972667693163,0.472412109375,Type I,1.0
0.17181972667693154,0.4306640625,Type I,1.0
0.17573972667693138,0.42880859375,Type I,1.0
0.17621972667693137,0.39653320312499996,Type I,0.0
0.1825397266769311,0.8158203125,Type I,1.0
0.18547972667693097,0.52705078125,Type I,1.0
0.18671972667693093,0.764453125,Type I,0.0
0.18687972667693092,0.16298828124999998,Type I,0.0
0.18833972667693086,0.601708984375,Type I,1.0
0.18971972667693082,0.684033203125,Type I,0.0
0.19027972667693077,0.29423828124999996,Type I,1.0
0.19183972667693072,0.43271484375,Type I,1.0
0.19665972667693055,0.8373046875,Type I,1.0
0.19773972667693046,0.245849609375,Type I,0.0
0.1978397266769305,0.19648437500000004,Type I,0.0

Start,End,Type
0.144,0.2,Type I
