Time,Height,Type,Valid
-0.003100286865236661,0.425439453125,NONE,1.0
0.0017797131347631404,0.365966796875,NONE,1.0
0.00301971313476309,0.17045898437499996,NONE,0.0
0.0031797131347630833,0.15170898437500002,NONE,0.0
0.004439713134763032,0.25117187500000004,NONE,0.0
0.007399713134762911,0.270361328125,NONE,1.0
0.008959713134762848,0.21015625000000004,NONE,1.0
0.010239713134762796,0.21840820312499998,NONE,0.0
0.012159713134762717,0.421728515625,NONE,1.0
0.0639597131347606,0.2129882812499999,NONE,1.0
0.12159971313475826,0.17197265625000002,Type I,0.0
0.12395971313475818,0.150927734375,Type I,0.0
0.12585971313475808,0.292822265625,Type I,1.0
0.12607971313475808,0.16249999999999998,Type I,0.0
0.12817971313475798,0.199462890625,Type I,1.0
0.1382197131347576,0.470556640625,Type I,1.0
0.1398597131347575,0.376318359375,Type I,1.0
0.1472197131347572,0.19077148437500002,Type I,1.0
0.15723971313475682,0.376025390625,Type II,1.0
0.16577971313475645,0.36767578125,Type II,1.0
0.16597971313475646,0.39677734375,Type II,0.0
0.176899713134756,0.734521484375,Type II,1.0
0.1797997131347559,0.375439453125,Type II,1.0
0.1888397131347555,0.89775390625,Type II,1.0
0.19023971313475546,0.514306640625,Type II,0.0
0.19091971313475542,0.16474609375000004,Type II,0.0
0.19291971313475537,0.1796875,Type II,1.0
0.20733971313475474,0.972412109375,Type II,1.0
0.20823971313475476,0.33598632812499996,Type II,0.0
0.2086197131347547,0.15576171875,Type II,0.0

Start,End,Type
0.116,0.148,Type I
0.155,0.215,Type II
