Time,Height,Type,Valid
0.0016396650696001158,0.31678491709183676,NONE,1.0
0.010539665069602841,0.15286192602040816,NONE,0.0
0.013779665069603833,0.29760243941326525,NONE,1.0
0.018299665069605217,0.19840162627551022,NONE,1.0
0.09167966506962769,0.27458346619897955,NONE,1.0
0.11369966506963441,0.29864875637755106,NONE,1.0
0.13197966506964004,0.18494897959183676,NONE,0.0
0.15267966506964636,0.19326969068877553,NONE,1.0
0.1635596650696497,0.17478475765306123,Type III,0.0
0.1681596650696511,0.20467952806122447,Type III,1.0
0.17251966506965244,0.17528300382653061,Type III,1.0
0.17625966506965357,0.1581433354591837,Type III,0.0
0.17723966506965388,0.1517159598214286,Type III,0.0
0.17745966506965394,0.28883330676020413,Type III,1.0
0.18217966506965538,0.1726422991071429,Type III,1.0
0.18237966506965547,0.15251315369897955,Type III,0.0
0.18297966506965563,0.31289859693877553,Type III,0.0
0.1883796650696573,0.15231385522959184,Type III,0.0
0.18915966506965753,0.2978017378826531,Type III,1.0
0.1962196650696597,0.1649693080357143,Type III,0.0
0.1963196650696597,0.31558912627551017,Type III,1.0
0.20459966506966226,0.2584402901785714,Type III,1.0
0.20465966506966227,0.1970563616071429,Type III,0.0
0.2132196650696649,0.29027822066326525,Type III,1.0
0.2654796650696809,0.8475665656887755,Type I,1.0
0.28689966506968745,0.8207609215561225,Type I,1.0
0.3223596650696983,1.198680644132653,Type I,1.0
0.32763966506969994,1.2567263233418366,Type I,1.0
0.32893966506970035,0.34119897959183665,Type I,0.0
0.3301196650697007,0.18440090880102034,Type I,1.0
0.3317396650697012,0.36785514987244894,Type I,1.0
0.3353796650697023,0.6816007653061225,Type I,1.0
0.34565966506970547,0.1555524553571428,Type I,1.0
0.3460596650697056,0.7758191167091837,Type I,0.0
0.3467596650697058,0.33756178252551017,Type I,0.0
0.34925966506970657,0.6505102040816326,Type I,1.0
0.3510196650697071,0.21399673150510212,Type I,1.0
0.3513396650697072,0.26621293048469385,Type I,0.0
0.3533196650697078,1.1887157206632653,Type I,1.0
0.3545996650697082,0.2460837850765305,Type I,0.0
0.3549796650697083,0.17324019451530592,Type I,1.0
0.35519966506970835,0.7386997767857144,Type I,0.0
0.35553966506970847,0.22371253188775508,Type I,0.0
0.35565966506970853,0.15530333227040805,Type I,0.0
0.3557596650697086,0.18564652423469408,Type I,0.0
0.35583966506970854,0.1640724649234695,Type I,0.0
0.3558796650697086,0.15071946747448983,Type I,0.0
0.3559396650697086,0.15515385841836737,Type I,0.0
0.3562396650697087,0.24359255420918347,Type I,0.0
0.3566396650697088,0.16098333864795933,Type I,0.0
0.35675966506970885,0.16486965880102034,Type I,0.0
0.3611596650697102,0.20428093112244894,NONE,1.0

Start,End,Type
0.162,0.216,Type III
0.26,0.294,Type I
0.32,0.357,Type I
