Time,Height,Type,Valid
0.0016197388839696014,0.287548828125,NONE,1.0
0.010719738883969238,0.19291992187499996,NONE,1.0
0.1247797388839646,0.18657226562499996,NONE,1.0
0.14553973888396374,0.19453125000000004,NONE,1.0
0.15363973888396343,0.16372070312499998,NONE,0.0
0.1612997388839631,0.19340820312499996,NONE,1.0
0.1734397388839626,0.15585937500000002,NONE,0.0
0.3163397388839568,2.36953125,Type I,1.0
0.3333597388839561,2.658837890625,Type I,1.0
0.35137973888395535,1.031494140625,Type I,1.0
0.3749997388839544,1.170751953125,Type I,1.0
0.38631973888395393,0.582666015625,Type II,1.0
0.3990797388839534,0.5763671875,Type II,1.0
0.40585973888395316,0.410107421875,Type II,1.0
0.40621973888395313,0.166015625,Type II,0.0
0.4159197388839527,0.313427734375,Type II,1.0
0.4275197388839522,0.90078125,Type II,1.0
0.43253973888395203,0.565087890625,Type II,1.0
0.4423197388839517,0.646484375,Type II,1.0
0.45887973888395095,0.421435546875,NONE,1.0
0.46557973888395066,0.16191406249999996,NONE,0.0
0.46857973888395055,0.19980468750000002,NONE,1.0
0.4686597388839506,0.16269531250000002,NONE,0.0
0.4687597388839506,0.190869140625,NONE,0.0
0.4690797388839506,0.28789062499999996,NONE,0.0
0.46925973888395056,0.15605468749999996,NONE,0.0
0.46989973888395054,3.449853515625,NONE,0.0
0.4726597388839504,0.17094726562499996,NONE,1.0
0.48283973888395004,0.95517578125,Type II,1.0
0.4894797388839497,0.7583984375,Type II,1.0
0.49623973888394945,0.70810546875,Type II,1.0
0.5017797388839492,0.880712890625,Type II,1.0
0.5028997388839492,0.53115234375,Type II,0.0
0.5030997388839492,0.335205078125,Type II,0.0
0.5031997388839492,0.32421875,Type II,0.0
0.5039397388839492,0.6322265625,Type II,1.0
0.507479738883949,0.68310546875,Type II,1.0
0.5126197388839487,0.618896484375,Type II,1.0
0.5180197388839486,0.73994140625,Type II,1.0
0.5198197388839485,0.693017578125,Type II,1.0
0.5260597388839482,0.455322265625,Type II,1.0
0.531399738883948,0.4349609375,Type II,1.0
0.5364197388839478,0.5541015625,Type II,1.0
0.5421197388839476,0.6970703125,Type II,1.0
0.5497597388839472,0.27607421875,NONE,1.0
0.5641997388839467,0.8796875,NONE,1.0
0.5726597388839464,0.366845703125,Type III,1.0
0.5755797388839462,0.319384765625,Type III,1.0
0.582779738883946,0.25556640625,Type III,1.0
0.5951597388839455,0.25048828125,Type III,1.0
0.6143997388839446,0.15541992187499998,NONE,0.0
0.6206597388839444,0.16704101562499996,NONE,0.0
0.6207397388839444,0.20327148437499998,NONE,1.0
0.6208397388839444,0.15102539062499998,NONE,0.0
0.6209597388839444,0.17729492187499996,NONE,0.0
0.6229797388839443,2.38818359375,NONE,1.0

Start,End,Type
0.31,0.38,Type I
0.385,0.447,Type II
0.48,0.546,Type II
0.57,0.6,Type III
